Nom,Connections Nombre,Date,Dates de Tirage,Dernier Tirage,Description,Elément de la Suite,Mots-clés de la Suite,Nombre de Tirages,Nombres et Cartes de la Court🦄,Numbre Lié,Numerologie,Numéro Random,Renversée,Signification,Signification du Nombre,Suite,Suite 1,TIRAGES,TIRAGES DE TAROT 🪬,Tarot Suites 🦄
Six de Bâtons,"https://www.notion.so/2d2b37fc265745008eb73475092a4278, https://www.notion.so/4709ecb04be74dc8b530e7d7fd7dcc71, https://www.notion.so/51331b416be648c78509bc7448548291, https://www.notion.so/8b38a428641b4738ac23d4deca431b0f, https://www.notion.so/dd67761b50d34651a928c20f94110a96, https://www.notion.so/f9db2aadbec64204887e60a0a9f8ad55",,,,Un cavalier lauré porte un bâton orné d'une couronne de laurier ; des valets de pied avec des bâtons sont à ses côtés.,🔥 Feu,"Feu, action, créativité",0,,6,Six (https://www.notion.so/Six-7dc5f0e583094f4481277414c377ddc8?pvs=21),✨28,"Doute, lutte; Appréhension, peur, comme d'un ennemi victorieux à la porte ; trahison, déloyauté, comme de portes ouvertes à l'ennemi ; aussi retard indéfini.","Reconnaissance, progrès, La carte a été conçue de telle sorte qu'elle peut recouvrir plusieurs significations ; en surface, c'est un vainqueur qui triomphe, mais c'est aussi une grande nouvelle, telle qu'elle pourrait être portée en état par le courrier du roi ; c'est l'attente couronnée de son propre désir, la couronne de l'espoir, et ainsi de suite.","Expansion, créativité, sortie de la chrysalide",Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
Reine d’Epées,"https://www.notion.so/180db67202e4455293bf7e2e12578f03, https://www.notion.so/c1acbf551d2b407393021a18949a986c, https://www.notion.so/c5601eb9cb504e27917f4e56e376ceb1, https://www.notion.so/d5c38f3694b743c789d8a7ab46703aef",,,,"Sa main droite lève l'arme verticalement et la poignée repose sur un bras de son fauteuil royal ; la main gauche est étendue, le bras levé ; son visage est sévère mais châtié ; il suggère la familiarité avec la douleur. Elle ne représente pas la pitié et, malgré son épée, elle n'est guère un symbole de puissance.",🌬Air,"Esprit, Imaginaire, Mental",0,,13,Reines (https://www.notion.so/Reines-ddfe2ceb9a3f40fb8b43fac2cc124b03?pvs=21),✨63,"Rigidité, critique; Malice, bigoterie, artifice, pruderie, bale, tromperie.","Limites, indépendance. Veuvage, tristesse et gêne féminine, absence, stérilité, deuil, privation, séparation.",Travail Intérieur,Epées,Epées (https://www.notion.so/Ep-es-bcb057fdbc6f4faab96344f1bddec5bc?pvs=21),,,
Sept de Pentacles,"https://www.notion.so/232ceea3228d488dbe52286061b73357, https://www.notion.so/81cac96138514faa97222198189699f9, https://www.notion.so/91d74bc899b04031b377fe86d54b60cd, https://www.notion.so/c0d690a20b87430e98ce5ba0ae8f938d, https://www.notion.so/d2993811cf8d4530830ea523a4b37fa4, https://www.notion.so/e6a5e8c12a854790a17202b0f262910b",,,,"Un jeune homme, appuyé sur son bâton, regarde attentivement sept pentacles attachés à une touffe de verdure sur sa droite ; on pourrait dire que ce sont ses trésors et que son cœur est là.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,7,Sept (https://www.notion.so/Sept-7a90e004895c4c40b98845c975331b5a?pvs=21),✨43,"Impatience, fébrilité; Motif d'inquiétude concernant l'argent que l'on peut se proposer de prêter.","Patience, persévérance. Elles sont extrêmement contradictoires ; en général, c'est une carte d'argent, d'affaires, de troc ; mais une lecture donne altercation, querelles - et une autre innocence, ingéniosité, purgation.",Travail intérieur,Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
Cavalier de Pentacles,"https://www.notion.so/0b75286cf7cc4593a5af61c35fdb0409, https://www.notion.so/4df8d7879b124d0391a4fc310b7683f5, https://www.notion.so/dd549fc1beb14beeb76cff33051e8995, https://www.notion.so/ef7c8d34505c4011b090a57a66f84586",,,,"Il monte un cheval lent, endurant et lourd, auquel correspond son propre aspect. Il exhibe son symbole, mais ne le regarde pas.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,12,Chevaliers (https://www.notion.so/Chevaliers-d6f8a00523984d24805f1b4ef4d77271?pvs=21),✨48,"Éparpillé; inertie, oisiveté, repos de ce genre, stagnation ; également placidité, découragement, insouciance.","Être organisé/méthodique. L'utilité, la serviabilité, l'intérêt, la responsabilité, la rectitude - tout cela sur le plan normal et extérieur.",Mouvement,Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
Roi de Pentacles,"https://www.notion.so/0e7ef84f1d7c4211898fc0ad598b0f09, https://www.notion.so/59c183dcf98947f1a886fd2212a0c1b2, https://www.notion.so/9e8957fe4c054bc0bef907d6a3f42fbc, https://www.notion.so/db348cc2dbfd4495885168a5fec2ba17",,,,"La figure n'appelle pas de description particulière : le visage est plutôt sombre, suggérant aussi le courage, mais de tendance quelque peu léthargique. Il faut noter que la tête de taureau est un symbole récurrent sur le trône. Le signe de cette combinaison est représenté partout comme gravé ou blasonné avec le pentagramme, typifiant la correspondance des quatre éléments dans la nature humaine et ce par quoi ils peuvent être gouvernés. Dans beaucoup d'anciens jeux de Tarot, cette combinaison représentait la monnaie courante, l'argent, les deniers. Je n'ai pas inventé la substitution des pentacles et je n'ai pas de raison particulière de soutenir cette alternative. Mais le consensus des significations divinatoires est en faveur d'un certain changement, car il se trouve que les cartes ne traitent pas spécialement des questions d'argent.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,14,Rois (https://www.notion.so/Rois-d1cba03a95144655aed1ef253fd839f4?pvs=21),✨50,"Mauvaise gestion des ressources, entêtement; Vice, faiblesse, laideur, perversité, corruption, péril.","Prospérité, générosité. Vaillance, intelligence réalisatrice, aptitude aux affaires et aptitude intellectuelle normale, parfois dons et aptitudes mathématiques de ce genre ; succès dans ces voies.",Concrétisation,Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
Dix de Coupes,"https://www.notion.so/078e6256b4a54ceb926b752548cd077d, https://www.notion.so/71d29e3962d54dee9fcd4282892726d7, https://www.notion.so/7bdf3c386c8c40769f0beb3925c72e24, https://www.notion.so/8e930ab535b74904bbd4b2db25eb0429, https://www.notion.so/b2b8378ca1b544b8a086eae2d120cd3d",,,,"Apparition des Coupes dans un arc-en-ciel ; il est contemplé avec émerveillement et extase par un homme et une femme en bas, manifestement mari et femme. Son bras droit est autour d'elle, son gauche est levé vers le haut, elle lève son bras droit. Les deux enfants qui dansent près d'eux n'ont pas observé le prodige mais sont heureux à leur manière. Une scène de ménage se déroule au-delà.",💧Eau,"Emotions, Relations",0,,10,Dix (https://www.notion.so/Dix-9d82c0dfb3ca4e26ae4803dc7c42b459?pvs=21),✨74,"Désalignement; Repos du faux cœur, indignation, violence.","Bonheur/alignement; Contentement, repos du cœur tout entier ; la perfection de cet état ; aussi la perfection de l'amour et de l'amitié humaine ; si avec plusieurs cartes-images, une personne qui s'occupe des intérêts du Quérant ; aussi la ville, le village ou le pays habité par le Quérant.",Achèvement,Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,,
Neuf d’Epées,"https://www.notion.so/30f59c0f4dd54af4ab2ecb9229fc6423, https://www.notion.so/81486c11e9f74d40866624d6e245e7c8, https://www.notion.so/8e82231fe1f84fe596700cf4ffe5de92, https://www.notion.so/d35ac4e06a4544769b7343950db70a31, https://www.notion.so/db9bdef69fa543ac9e602924e88d8e2f, https://www.notion.so/ec2fb8726d9c4fb995fb63f4cfcd8172",,,,"Elle est assise sur sa couche et se lamente, avec les épées au-dessus d'elle. Elle est comme quelqu'un qui ne connaît pas de douleur semblable à la sienne. C'est une carte de la désolation la plus totale.",🌬Air,"Esprit, Imaginaire, Mental",0,,9,Neuf (https://www.notion.so/Neuf-3e80e97e22564b17bc1343bdb2242adb?pvs=21),✨59,"Libération de la peur; Emprisonnement, suspicion, doute, crainte raisonnable, honte.","Peur, inquiétude, anxiété, accablement. La mort, l'échec, la fausse couche, le retard, la déception, le désespoir.",Intégration des enseignements tirés des autres numéros,Epées,Epées (https://www.notion.so/Ep-es-bcb057fdbc6f4faab96344f1bddec5bc?pvs=21),,,
Sept de Coupes,"https://www.notion.so/232ceea3228d488dbe52286061b73357, https://www.notion.so/81cac96138514faa97222198189699f9, https://www.notion.so/91d74bc899b04031b377fe86d54b60cd, https://www.notion.so/c0d690a20b87430e98ce5ba0ae8f938d, https://www.notion.so/d2993811cf8d4530830ea523a4b37fa4, https://www.notion.so/e6a5e8c12a854790a17202b0f262910b",,"February 13, 2023",La Voie des Êtres Stellaires - Tirage 13 Février 2022,"D'étranges calices de vision, mais les images sont plus particulièrement celles de l'esprit fantastique.",💧Eau,"Emotions, Relations",0,,7,Sept (https://www.notion.so/Sept-7a90e004895c4c40b98845c975331b5a?pvs=21),✨71,"Se perdre dans la rêverie; Désir, volonté, détermination, projet.","Les faveurs des fées, les images de la réflexion, du sentiment, de l'imagination, les choses vues dans le verre de la contemplation ; une certaine réussite dans ces degrés, mais rien de permanent ou de substantiel n'est suggéré.",Travail intérieur,Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,La Voie des Êtres Stellaires - Tirage 13 Février 2022 (https://www.notion.so/La-Voie-des-tres-Stellaires-Tirage-13-F-vrier-2022-ef94f07a950a4e53ac324c288f618802?pvs=21),
Cavalier de Coupes,"https://www.notion.so/0b75286cf7cc4593a5af61c35fdb0409, https://www.notion.so/4df8d7879b124d0391a4fc310b7683f5, https://www.notion.so/dd549fc1beb14beeb76cff33051e8995, https://www.notion.so/ef7c8d34505c4011b090a57a66f84586",,,,"Gracieux, mais pas guerrier ; chevauchant tranquillement, portant un casque ailé, faisant référence à ces grâces supérieures de l'imagination qui caractérisent parfois cette carte. Lui aussi est un rêveur, mais les images du côté du sens le hantent dans sa vision.",💧Eau,"Emotions, Relations",0,,12,Chevaliers (https://www.notion.so/Chevaliers-d6f8a00523984d24805f1b4ef4d77271?pvs=21),✨76,"Questionner le cœur; Tromperie, artifice, subtilité, escroquerie, duplicité, fraude.","Suivre le cœur; Arrivée, approche - parfois celle d'un messager ; avances, proposition, attitude, invitation, incitation.",Mouvement,Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,,
Dix de Bâtons,"https://www.notion.so/078e6256b4a54ceb926b752548cd077d, https://www.notion.so/71d29e3962d54dee9fcd4282892726d7, https://www.notion.so/7bdf3c386c8c40769f0beb3925c72e24, https://www.notion.so/8e930ab535b74904bbd4b2db25eb0429, https://www.notion.so/b2b8378ca1b544b8a086eae2d120cd3d",,,,Un homme oppressé par le poids des dix bâtons qu'il porte.,🔥 Feu,"Feu, action, créativité",0,,10,Dix (https://www.notion.so/Dix-9d82c0dfb3ca4e26ae4803dc7c42b459?pvs=21),✨32,"Lâcher prise ou s'accrocher; Contrariétés, difficultés, intrigues, et leurs analogies.","Apprendre ce qu'il faut porter et ce dont il faut se défaire, Une carte aux multiples significations, et certaines lectures ne peuvent être harmonisées. Je laisse de côté ce qui la relie à l'honneur et à la bonne foi. La signification principale est l'oppression tout simplement, mais c'est aussi la fortune, le gain, toute sorte de succès, et ensuite c'est l'oppression de ces choses. C'est aussi une carte de faux semblant, de déguisement, de perfidie. Le lieu que le personnage approche peut souffrir des bâtons qu'il porte. Le succès est étouffé si le neuf d'épée suit, et s'il s'agit d'un procès, il y aura une perte certaine.",Achèvement,Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
Neuf de Bâtons,"https://www.notion.so/30f59c0f4dd54af4ab2ecb9229fc6423, https://www.notion.so/81486c11e9f74d40866624d6e245e7c8, https://www.notion.so/8e82231fe1f84fe596700cf4ffe5de92, https://www.notion.so/d35ac4e06a4544769b7343950db70a31, https://www.notion.so/db9bdef69fa543ac9e602924e88d8e2f, https://www.notion.so/ec2fb8726d9c4fb995fb63f4cfcd8172",,,,"Le personnage s'appuie sur son bâton et a l'air d'attendre, comme s'il attendait un ennemi. Derrière lui se trouvent huit autres bâtons - droits, disposés de manière ordonnée, comme une palissade.",🔥 Feu,"Feu, action, créativité",0,,9,Neuf (https://www.notion.so/Neuf-3e80e97e22564b17bc1343bdb2242adb?pvs=21),✨31,"Épuisement, frustration; Obstacles, adversité, calamité.","Résilience, persistance, Cette carte signifie la force dans l'opposition. Si elle est attaquée, la personne répondra à l'assaut avec audace, et sa carrure indique qu'elle peut s'avérer un antagoniste redoutable. Cette signification principale s'accompagne de tous ses compléments possibles : retard, suspension, ajournement.",Intégration des enseignements tirés des autres numéros,Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
